Sp_eBird,Sp_BirdLife,Study,Flycatching,Gleaning,Hovering,Pouncing,Probing,Snatching,Air,Bark,Flower,Ground,Leaf,Other,N_BEH,N_SUB,continent,location,zdroj_dat,Order
Certhia familiaris,Certhia familiaris,Ulicny25,0,7,0,0,157,0,0,164,0,0,0,0,164,164,Europe,Czech Republic,Ulicny,PASSERIFORMES
Chloris chloris,Carduelis chloris,Ulicny25,0,15,0,0,0,0,0,0,0,0,15,0,15,15,Europe,Czech Republic,Ulicny,PASSERIFORMES
Coccothraustes coccothraustes,Coccothraustes coccothraustes,Ulicny25,0,81,2,0,0,0,0,15,0,5,63,0,83,83,Europe,Czech Republic,Ulicny,PASSERIFORMES
Cyanistes caeruleus,Parus caeruleus,Ulicny25,0,488,11,0,0,6,0,226,0,8,270,1,505,505,Europe,Czech Republic,Ulicny,PASSERIFORMES
Dendrocopos major,Dendrocopos major,Ulicny25,0,33,0,0,55,0,0,58,0,22,8,0,88,88,Europe,Czech Republic,Ulicny,NONPASSERIFORMES
Dendrocoptes medius,Dendrocopos medius,Ulicny25,0,0,0,0,5,0,0,5,0,0,0,0,5,5,Europe,Czech Republic,Ulicny,NONPASSERIFORMES
Dryocopus martius,Dryocopus martius,Ulicny25,0,0,0,0,25,0,0,25,0,0,0,0,25,25,Europe,Czech Republic,Ulicny,NONPASSERIFORMES
Erithacus rubecula,Erithacus rubecula,Ulicny25,9,25,9,2,0,6,9,9,0,8,25,0,51,51,Europe,Czech Republic,Ulicny,PASSERIFORMES
Ficedula albicollis,Ficedula albicollis,Ulicny25,15,10,13,0,0,14,15,6,0,1,30,0,52,52,Europe,Czech Republic,Ulicny,PASSERIFORMES
Ficedula hypoleuca,Ficedula hypoleuca,Ulicny25,2,1,3,1,0,0,2,4,0,1,0,0,7,7,Europe,Czech Republic,Ulicny,PASSERIFORMES
Fringilla coelebs,Fringilla coelebs,Ulicny25,2,133,48,0,0,6,2,89,0,9,89,0,189,189,Europe,Czech Republic,Ulicny,PASSERIFORMES
Muscicapa striata,Muscicapa striata,Ulicny25,22,0,0,0,0,4,22,0,0,0,4,0,26,26,Europe,Czech Republic,Ulicny,PASSERIFORMES
Oriolus oriolus,Oriolus oriolus,Ulicny25,0,10,0,0,0,0,0,0,0,0,10,0,10,10,Europe,Czech Republic,Ulicny,PASSERIFORMES
Parus major,Parus major,Ulicny25,2,505,22,0,0,4,2,236,0,54,239,2,533,533,Europe,Czech Republic,Ulicny,PASSERIFORMES
Phoenicurus phoenicurus,Phoenicurus phoenicurus,Ulicny25,0,2,3,0,0,0,0,0,0,0,5,0,5,5,Europe,Czech Republic,Ulicny,PASSERIFORMES
Phylloscopus collybita,Phylloscopus collybita,Ulicny25,0,62,11,0,0,3,0,29,0,1,44,2,76,76,Europe,Czech Republic,Ulicny,PASSERIFORMES
Phylloscopus sibilatrix,Phylloscopus sibilatrix,Ulicny25,0,51,17,0,0,5,0,32,0,1,40,0,73,73,Europe,Czech Republic,Ulicny,PASSERIFORMES
Poecile palustris,Parus palustris,Ulicny25,0,71,5,0,0,4,0,44,0,0,36,0,80,80,Europe,Czech Republic,Ulicny,PASSERIFORMES
Sitta europaea,Sitta europaea,Ulicny25,1,155,3,0,339,1,1,428,0,3,59,8,499,499,Europe,Czech Republic,Ulicny,PASSERIFORMES
Sturnus vulgaris,Sturnus vulgaris,Ulicny25,0,7,0,0,0,0,0,7,0,0,0,0,7,7,Europe,Czech Republic,Ulicny,PASSERIFORMES
Sylvia atricapilla,Sylvia atricapilla,Ulicny25,0,106,7,0,0,5,0,31,0,0,87,0,118,118,Europe,Czech Republic,Ulicny,PASSERIFORMES
Sylvia borin,Sylvia borin,Ulicny25,0,7,0,0,0,1,0,1,0,0,7,0,8,8,Europe,Czech Republic,Ulicny,PASSERIFORMES
Troglodytes troglodytes,Troglodytes troglodytes,Ulicny25,0,47,0,0,0,0,0,34,0,9,4,0,47,47,Europe,Czech Republic,Ulicny,PASSERIFORMES
Turdus merula,Turdus merula,Ulicny25,0,239,0,0,0,0,0,10,0,228,1,0,239,239,Europe,Czech Republic,Ulicny,PASSERIFORMES
Turdus philomelos,Turdus philomelos,Ulicny25,0,34,0,0,0,0,0,2,0,32,0,0,34,34,Europe,Czech Republic,Ulicny,PASSERIFORMES
Turdus viscivorus,Turdus viscivorus,Ulicny25,0,5,0,0,0,0,0,2,0,0,3,0,5,5,Europe,Czech Republic,Ulicny,PASSERIFORMES
